Source System Name,Source System Acronym,Table Name,Table Description,ColumnNames,ColumnAcronyms,DataTypes,Nullability,ColumnDescription
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",Formation,Fr,TEXT,NULLABLE,Formation to which the well belongs.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",OilSaturation,OS,NUMBER,NULLABLE,Measurement of oil saturation in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",GasSaturation,GS,NUMBER,NULLABLE,Measurement of gas saturation in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",WaterSaturation,WS,NUMBER,NULLABLE,Measurement of water saturation in the well.
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Source System Name,SSN,TEXT,NOT NULLABLE,The name of the source system
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Source System Acronym,SSA,TEXT,NOT NULLABLE,The acronym of the source system
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Table Name,TN,TEXT,NOT NULLABLE,The name of the table
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Table Description,TD,TEXT,NOT NULLABLE,Description of the table
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Hit/Miss,HM,BOOLEAN,NULLABLE,Indicates if the drilling was successful or not
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Depth,D,NULLABLE,NULLABLE
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates.",Initial Flow Rates,IFR,NULLABLE,NULLABLE
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Source System Name,SSN,TEXT,NOT NULLABLE,The name of the source system providing the data
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Source System Acronym,SSA,TEXT,NOT NULLABLE,The acronym of the source system providing the data
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Table Name,TN,TEXT,NOT NULLABLE,The name of the table in the source system
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Table Description,TD,TEXT,NOT NULLABLE,The description of the table in the source system
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Geophysical Study ID,GSI,NUMBER,NOT NULLABLE,An identifier for the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Title,ST,TEXT,NULLABLE,The title of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Description,SD,TEXT,NULLABLE,The description of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Start Date,SSD,DATETIME,NULLABLE,The start date of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study End Date,SED,DATETIME,NULLABLE,The end date of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Location,SL,TEXT,NULLABLE,The location of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Type,STY,TEXT,NULLABLE,The type of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Key Findings,SKF,TEXT,NULLABLE,The key findings of the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Survey Type,STY,TEXT,NULLABLE,The type of survey conducted for the study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Survey Duration,SDU,NUMBER,NULLABLE,The duration of the survey in days
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Survey Equipment,SE,TEXT,NULLABLE,The equipment used for the survey
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Gravity Data,GRD,TEXT,NULLABLE,The gravity data collected during the survey
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Magnetic Data,MGD,TEXT,NULLABLE,The magnetic data collected during the survey
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Study Researcher,SR,TEXT,NULLABLE,The researcher responsible for the geophysical study
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.,Last Updated Date,LUD,DATETIME,NOT NULLABLE,The date when the data was last updated in the table
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Report ID,REP_ID,NUMBER,NOT NULLABLE,Unique identifier for each evaluation report
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Drilling Site ID,DS_ID,NUMBER,NOT NULLABLE,Unique identifier for each potential drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Well Risk Assessment,RISK_ASSESSMENT,TEXT,NOT NULLABLE,Assessment of the risk associated with drilling at the site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Expected Reserves,EXP_RESERVES,NUMBER,NOT NULLABLE,Estimated amount of reserves expected to be found at the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Report Date,REP_DATE,DATETIME,NOT NULLABLE,Date when the evaluation report was generated
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Operator Name,OPERATOR_NAME,TEXT,NULLABLE,Name of the operator responsible for the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Location,LOC,TEXT,NULLABLE,Location of the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Block ID,BLOCK_ID,NUMBER,NOT NULLABLE,Identifier for the block where the drilling site is located
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Country,COUNTRY,TEXT,NOT NULLABLE,Country where the drilling site is located
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Depth,DEPTH,NUMBER,NOT NULLABLE,Depth of the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Environment Risk Assessment,ENV_RISK_ASSESSMENT,TEXT,NOT NULLABLE,Assessment of the environmental risk associated with drilling at the site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Exploration Status,EXP_STATUS,TEXT,NOT NULLABLE,Status of the exploration activities at the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Reservoir Type,RES_TYPE,TEXT,NOT NULLABLE,Type of reservoir expected to be found at the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Completion Date,COMPLETION_DATE,DATETIME,NULLABLE,Date when drilling was completed at the site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Well Cost,WELL_COST,NUMBER,NULLABLE,Cost associated with drilling the well
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Reserve Classification,RES_CLASS,TEXT,NOT NULLABLE,Classification of the estimated reserves (e.g.
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Exploration License Number,EXP_LICENSE_NUM,TEXT,NOT NULLABLE,License number for the exploration activities at the drilling site
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Well Productivity,WELL_PRODUCTIVITY,NUMBER,NOT NULLABLE,Expected productivity of the well
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Well Status,WELL_STATUS,TEXT,NOT NULLABLE,Status of the well (e.g.
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.,Confidence Level,CONF_LEVEL,NUMBER,NOT NULLABLE,Level of confidence in the estimated reserves
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Record ID,RID,NUMBER,NOT NULLABLE,Unique identifier for each record
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Site Name,SN,TEXT,NOT NULLABLE,Name of the potential exploration site
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Site Location,SL,TEXT,NULLABLE,Location of the potential exploration site
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Assessment Date,AD,DATETIME,NOT NULLABLE,Date when the assessment was conducted
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Impact Type,IT,TEXT,NOT NULLABLE,Type of environmental impact
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Description,DESC,TEXT,NULLABLE,Description of the environmental impact
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Species at Risk,SAR,TEXT,NULLABLE,Species at risk in the area
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Water Quality,WQ,TEXT,NULLABLE,Assessment of water quality
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Air Quality,AQ,TEXT,NULLABLE,Assessment of air quality
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Noise Level,NL,TEXT,NULLABLE,Assessment of noise level
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Soil Contamination,SC,TEXT,NULLABLE,Assessment of soil contamination level
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Vegetation Impact,VI,TEXT,NULLABLE,Impact on vegetation
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Wildlife Impact,WI,TEXT,NULLABLE,Impact on wildlife
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Habitat Destruction,HD,TEXT,NULLABLE,Assessment of habitat destruction
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Social Impact,SI,TEXT,NULLABLE,Impact on local communities
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Economic Impact,EI,TEXT,NULLABLE,Economic impact assessment
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Remediation Plan,RP,TEXT,NULLABLE,Remediation plan for potential impacts
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Responsibility,RESP,TEXT,NULLABLE,Party responsible for implementing the remediation plan
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.,Status,STAT,TEXT,NULLABLE,Status of the assessment and remediation process
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License ID,LIC_ID,NUMBER,NOT NULLABLE,Unique identifier for the license
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Type,LIC_TYPE,TEXT,NOT NULLABLE,Type of license (e.g.
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Holder ID,LIC_HOLDER_ID,NUMBER,NOT NULLABLE,Unique identifier for the license holder
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Holder Name,LIC_HOLDER_NAME,TEXT,NOT NULLABLE,Name of the license holder
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Expiration Date,LIC_EXPIRATION_DATE,DATETIME,NULLABLE,Date when the license expires
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Conditions,LIC_CONDITIONS,TEXT,NULLABLE,Conditions or terms associated with the license
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Issue Date,LIC_ISSUE_DATE,DATETIME,NOT NULLABLE,Date when the license was issued
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Status,LIC_STATUS,TEXT,NOT NULLABLE,Current status of the license (e.g.
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Area,LIC_AREA,NUMBER,NOT NULLABLE,Area covered by the license (in square kilometers)
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Duration,LIC_DURATION,NUMBER,NOT NULLABLE,Duration of the license (in years)
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,Exploration Objective,EXPL_OBJ,TEXT,NULLABLE,Objective or purpose of the exploration
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,Exploration Method,EXPL_METHOD,TEXT,NULLABLE,Method or technique used for exploration
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,Exploration Results,EXPL_RESULTS,TEXT,NULLABLE,Results or findings of the exploration
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,Geographical Location,GEO_LOCATION,TEXT,NULLABLE,Geographical location of the exploration area
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Authority,LIC_AUTHORITY,TEXT,NOT NULLABLE,Authority responsible for issuing the license
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Conditions Fulfilled,LIC_CONDITIONS_FULFILLED,TEXT,NULLABLE,Indicates whether the license conditions have been fulfilled
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Conditions Outstanding,LIC_CONDITIONS_OUTSTANDING,TEXT,NULLABLE,Indicates any outstanding conditions for the license
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Modification History,LIC_MOD_HISTORY,TEXT,NULLABLE,History of modifications made to the license
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Compliance Status,LIC_COMPLIANCE_STATUS,TEXT,NULLABLE,Status of the license compliance with regulations
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.,License Remarks,LIC_REMARKS,TEXT,NULLABLE,Any additional remarks or comments about the license
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",CampaignID,ID,NUMBER,NOT NULLABLE,Unique identifier for each drilling campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",CampaignName,Name,TEXT,NOT NULLABLE,Name of the drilling campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",StartDate,SD,DATETIME,NOT NULLABLE,Start date of the drilling campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",EndDate,ED,DATETIME,NULLABLE,End date of the drilling campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",CampaignStatus,CS,TEXT,NOT NULLABLE,Status of the drilling campaign (e.g. ongoing
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",TotalCosts,NOT NULLABLE,NUMBER
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",TimeOverrun,TO,NUMBER,NULLABLE,Number of days the drilling campaign exceeded the planned timeline
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",Outcome,Out,TEXT,NOT NULLABLE,Outcome of the drilling campaign (e.g. successful
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",Location,Loc,TEXT,NOT NULLABLE,Location where the drilling campaign took place
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",Operator,Oper,TEXT,NOT NULLABLE,Operator responsible for the drilling campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",Contractor,Contractor,TEXT,NOT NULLABLE,Contractor hired for the drilling campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",RigName,RN,TEXT,NOT NULLABLE,Name or code of the drilling rig used in the campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",WellCount,WC,NUMBER,NOT NULLABLE,Number of wells drilled in the campaign
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",PerformedBy,PB,TEXT,NOT NULLABLE,Name of the team or company that performed the drilling
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",InitialMudWeight,NULLABLE,NUMBER
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",FinalMudWeight,NULLABLE,NUMBER
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",DailyCost,NOT NULLABLE,NUMBER
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",TargetDepth,NOT NULLABLE,NUMBER
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",DepthAchieved,NULLABLE,NUMBER
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes.",Learnings,Lrn,TEXT,NULLABLE,Key learnings or observations from the drilling campaign
Exploration Data System,EDS,HydrocarbonPotentialZones,"Identified zones with potential hydrocarbon presence, categorized by confidence level.",ZoneID,ZoneID,NUMBER,NOT NULLABLE,Unique identifier for each hydrocarbon potential zone
Exploration Data System,EDS,HydrocarbonPotentialZones,"Identified zones with potential hydrocarbon presence, categorized by confidence level.",ZoneName,ZoneName,TEXT,NULLABLE,Name of the hydrocarbon potential zone
